uri,created_by,create_time,event_type,outcome_note
/repositories/3/events/14917,rvanunen,2018-04-18T15:09:35Z,virus_check,
/repositories/4/events/13720,jmdrake,2016-07-05T18:37:56Z,processed,
/repositories/4/events/13805,jmdrake,2016-08-08T16:17:44Z,processed,
/repositories/4/events/13862,jmdrake,2016-08-29T15:01:47Z,virus_check,"-214 possible threats were identified.

-Well over half of the 214 threats were for encrypted files and all but two were located at “/Fellows/Applications & Applicants”; the remaining two encrypted files were “/Fellowship Organizations/Population Services International/psi-sl_security_kit/ANNEX15_PSI_Electronic+IMG_English_password+is-PSIaccess-.pdf” and “/Fellows/Fellows 2015-2016/Stipends/Disbursements/Bank Letters/Barber_Melissa_BankLetter.pdf.”

-Of the other identified threats, all were PUA’s, and all but two were for embedded JavaScript within pdf’s; the embedded JS pdf’s were ignored.

-The remaining two PUA’s were PUA.Html.Exploit.CVE_2015_1692-1 (found at “/Finances & Fundraising/FUNDRAISING/DonorPerfect/DonorPerfect/Using the Contact Manager in DonorPerfect Online (Contacts)_files/ScriptResource(7).axd”) and PUA.Win.Packer.WwpackV-1 (“/Photos/2011 Benefit/10.0_Iupdate.exe”);

-The following files were deleted: “/Fellowship Organizations/Population Services International/psi-sl_security_kit/ANNEX15_PSI_Electronic+IMG_English_password+is-PSIaccess-.pdf,” “/Fellows/Fellows 2015-2016/Stipends/Disbursements/Bank Letters/Barber_Melissa_BankLetter.pdf,"" and “/Photos/2011 Benefit/10.0_Iupdate.exe.”

-The following directories were deleted: ”/Fellows/Applications & Applicants” and ”/Finances & Fundraising/FUNDRAISING/DonorPerfect/DonorPerfect”"
/repositories/4/events/13946,jmdrake,2016-12-05T14:00:16Z,virus_check,
/repositories/4/events/15197,peralta,2018-06-20T19:39:04Z,virus_check,
/repositories/4/events/15257,peralta,2018-07-02T17:39:03Z,File Identification,
/repositories/4/events/15260,peralta,2018-07-02T18:32:49Z,Sensitive Data Scan,- 4 instances of CNN patterns found; no action taken due to format of file (.wav) and BE error producing false positives. 
/repositories/4/events/15263,peralta,2018-07-02T19:37:32Z,appraisal,-40 instances of duplicate files were deleted
/repositories/4/events/15266,peralta,2018-07-02T20:05:01Z,Checksum Generation,
/repositories/4/events/15272,peralta,2018-07-03T13:41:41Z,ingestion,
/repositories/5/events/15290,sirogers,2018-07-10T19:47:10Z,virus_check,
/repositories/5/events/15292,sirogers,2018-07-10T19:49:39Z,Disk Image,Disk Images successfully created for disks001-disk008
/repositories/5/events/15336,sirogers,2018-08-01T18:42:12Z,Disk Image,Created disk image for disk009 using the FC5025.
/repositories/5/events/15339,sirogers,2018-08-01T18:44:04Z,Disk Image,Successfully completed disk image of optical001 using ISOBuster. 
/repositories/5/events/15342,sirogers,2018-08-01T18:46:35Z,virus_check,Virus checks on disk009 and optical001 completed. 
/repositories/5/events/15348,sirogers,2018-08-06T15:00:30Z,File Identification,
/repositories/5/events/15351,sirogers,2018-08-06T15:32:36Z,Sensitive Data Scan,"- 2 instances of flag words found; actions logged

- No ccn or pii found. "
/repositories/5/events/15354,sirogers,2018-08-06T16:21:24Z,Checksum Generation,
/repositories/5/events/15428,sirogers,2018-08-30T20:35:29Z,Disk Image,"AM.2015.62_bag_5 Optical Processing:
Created preservation copies (disk images for CD and DVDs and .wav files for CD-DAs) for 39 pieces of media. Four pieces of media (optical030 ; optical035 ; optical036 ; optical041) could not be imaged. "
/repositories/5/events/15434,sirogers,2018-08-30T20:43:22Z,virus_check,AM.2015.62_bag_5 Optical Processing: All files in this bag passed the Virus Check. 
/repositories/5/events/15440,sirogers,2018-08-31T13:41:15Z,Sensitive Data Scan,"AM.2015.62_bag_5 Optical Processing: 
- 74 instances of ccn patterns were found and a ccn.txt file was produced; after reviewing the files it was determined that this was just a false positive that was appearing in some of the wav and video files. "
/repositories/5/events/16341,alicelg,2019-07-24T14:20:08Z,virus_check,"Virus check for floppy disks in this collection. No threats identified although input/output error on disk011, ClamTK could not read some of the contents"
/repositories/5/events/16343,alicelg,2019-07-24T14:22:33Z,Disk Image,Disk imaging for floppy disks in this collection. The following disk has bad sectors and could not be fully imaged: disk011
/repositories/5/events/16347,alicelg,2019-07-24T15:25:35Z,File Identification,"For floppy disks in this collection: 
- appended "".doc"" to file /cdo/disk011/CLEANRM.BAK
DROID had error when exporting ext_mismatch .csv, so .csv has been created manually"
/repositories/5/events/16351,alicelg,2019-07-24T19:53:33Z,Sensitive Data Scan,"- no instances of flag words found 
- no instances of ccn.txt or pii.txt found"
/repositories/5/events/16353,alicelg,2019-07-24T20:14:28Z,appraisal,"- Duplicate disks and disk images were deleted disk005, disk006, disk007, disk008. 
- The improperly encoded/imaged file in disk011 was deleted.
"
/repositories/5/events/16355,alicelg,2019-07-25T16:49:29Z,Checksum Generation,
/repositories/5/events/16369,alicelg,2019-07-26T19:24:13Z,ingestion,
/repositories/5/events/16471,alicelg,2019-08-21T16:36:00Z,virus_check,No threats found.
/repositories/5/events/16473,alicelg,2019-08-21T16:38:25Z,Disk Image,Images from disk001 and disk002 were successful.
/repositories/5/events/16485,alicelg,2019-08-22T13:29:07Z,virus_check,No threats identified on disk001 and disk002.
/repositories/5/events/16487,alicelg,2019-08-22T13:30:46Z,Disk Image,disk001 and disk002 successfully imaged.
