blank,location,eadid,tc_type,tc_indicator,repo,ils_holding_id,barcode,helper
,/locations/23649,AC130,box,389,4,AC130_add173,,173
,/locations/23649,AC130,box,390,4,AC130_add174,,174
,/locations/23649,AC130,box,391,4,AC130_add175,,175
,/locations/23649,AC130,box,483,4,AC130_add176,,176
,/locations/23649,AC130,box,492,4,AC130_add177,,177
,/locations/23649,AC130,box,493,4,AC130_add178,,178
,/locations/23649,AC130,box,494,4,AC130_add179,,179
,/locations/23649,AC130,box,495,4,AC130_add180,,180
,/locations/23649,AC130,box,496,4,AC130_add181,,181
,/locations/23649,AC130,box,404,4,AC130_add182,,182
,/locations/23649,AC130,box,490,4,AC130_add183,,183
,/locations/23649,AC130,box,439,4,AC130_add184,,184
,/locations/23649,AC130,box,468,4,AC130_add185,,185
,/locations/23649,AC130,box,469,4,AC130_add186,,186
,/locations/23649,AC130,box,470,4,AC130_add187,,187
,/locations/23649,AC130,box,471,4,AC130_add188,,188
,/locations/23649,AC130,box,286,4,AC130_add189,,189
,/locations/23649,AC130,box,339,4,AC130_add190,,190
,/locations/23649,AC130,box,340,4,AC130_add191,,191
,/locations/23649,AC130,box,341,4,AC130_add192,,192
,/locations/23649,AC130,box,346,4,AC130_add193,,193
,/locations/23649,AC130,box,347,4,AC130_add194,,194
,/locations/23649,AC130,box,348,4,AC130_add195,,195
,/locations/23649,AC130,box,349,4,AC130_add196,,196
,/locations/23649,AC130,box,350,4,AC130_add197,,197
,/locations/23649,AC130,box,351,4,AC130_add198,,198
,/locations/23649,AC130,box,352,4,AC130_add199,,199
,/locations/23649,AC130,box,354,4,AC130_add200,,200
,/locations/23649,AC130,box,355,4,AC130_add201,,201
,/locations/23649,AC130,box,356,4,AC130_add202,,202
,/locations/23649,AC130,box,359,4,AC130_add203,,203
,/locations/23649,AC130,box,360,4,AC130_add204,,204
,/locations/23649,AC130,box,361,4,AC130_add205,,205
,/locations/23649,AC130,box,362,4,AC130_add206,,206
,/locations/23649,AC130,box,363,4,AC130_add207,,207
,/locations/23649,AC130,box,364,4,AC130_add208,,208
,/locations/23649,AC130,box,365,4,AC130_add209,,209
,/locations/23649,AC130,box,367,4,AC130_add210,,210
,/locations/23649,AC130,box,368,4,AC130_add211,,211
,/locations/23649,AC130,box,369,4,AC130_add212,,212
,/locations/23649,AC130,box,370,4,AC130_add213,,213
,/locations/23649,AC130,box,373,4,AC130_add214,,214
,/locations/23649,AC130,box,375,4,AC130_add215,,215
,/locations/23649,AC130,box,377,4,AC130_add216,,216
,/locations/23649,AC130,box,378,4,AC130_add217,,217
,/locations/23649,AC130,box,379,4,AC130_add218,,218
,/locations/23649,AC130,box,383,4,AC130_add219,,219
,/locations/23649,AC130,box,451,4,AC130_add220,,220
,/locations/23662,AC154,box,102,4,AC154_add221,,221
,/locations/23662,AC154,box,104,4,AC154_add222,,222
,/locations/23662,C0171,box,108,5,C0171_add223,,223
,/locations/23662,C0171,box,93,5,C0171_add224,,224
,/locations/23662,C0171,box,4,5,C0171_add225,,225
,/locations/23648,C0213,box,Print box 4,5,C0213_add226,,226
,/locations/23648,C0641,box,206,5,C0641_add227,,227
,/locations/23648,C0641,box,208,5,C0641_add228,,228
,/locations/23648,C0641,box,209,5,C0641_add229,,229
,/locations/23648,C0641,box,210,5,C0641_add230,,230
,/locations/23648,C0641,box,211,5,C0641_add231,,231
,/locations/23648,C0641,box,212,5,C0641_add232,,232
,/locations/23648,C0641,box,213,5,C0641_add233,,233
,/locations/23648,C0641,box,214,5,C0641_add234,,234
,/locations/23648,C0641,box,215,5,C0641_add235,,235
,/locations/23648,C0641,box,216,5,C0641_add236,,236
,/locations/23648,C0641,box,217,5,C0641_add237,,237
,/locations/23648,C0641,box,218,5,C0641_add238,,238
,/locations/23648,C0763,box,B-001465,5,C0763_add239,,239
,/locations/23648,C0763,box,B-001467,5,C0763_add240,,240
,/locations/23648,C0812,box,38,5,C0812_add241,,241
,/locations/23648,C0812,box,39,5,C0812_add242,,242
,/locations/23648,C0812,box,40,5,C0812_add243,,243
,/locations/23648,C0812,box,41,5,C0812_add244,,244
,/locations/23648,C0812,box,42,5,C0812_add245,,245
,/locations/23648,C0812,box,43,5,C0812_add246,,246
,/locations/23648,C0812,box,44,5,C0812_add247,,247
,/locations/23657,C0918,box,46,5,C0918_add248,,248
,/locations/23657,C0918,box,47,5,C0918_add249,,249
,/locations/23648,C1623,box,4,5,C1623_add250,,250
,/locations/23648,C1623,box,5,5,C1623_add251,,251
,/locations/23648,C1623,box,7,5,C1623_add252,,252
,/locations/23649,MC001.03.01,box,5712,3,MC001.03.01_add253,,253
,/locations/23649,MC001.03.01,box,5713,3,MC001.03.01_add254,,254
,/locations/23649,MC001.03.01,box,5714,3,MC001.03.01_add255,,255
,/locations/23649,MC001.03.01,box,2150,3,MC001.03.01_add256,,256
,/locations/23649,MC001.03.01,box,5716,3,MC001.03.01_add257,,257
,/locations/23649,MC001.03.01,box,5717,3,MC001.03.01_add258,,258
,/locations/23649,MC001.03.01,box,5718,3,MC001.03.01_add259,,259
,/locations/23649,MC001.03.01,box,5719,3,MC001.03.01_add260,,260
,/locations/23649,MC001.03.01,box,5720,3,MC001.03.01_add261,,261
,/locations/23649,MC006,box,427,3,MC006_add262,,262
,/locations/23649,MC006,box,696,3,MC006_add263,,263
,/locations/23649,MC006,box,697,3,MC006_add264,,264
,/locations/23649,MC006,box,704,3,MC006_add265,,265
,/locations/23649,MC006,box,705,3,MC006_add266,,266
,/locations/23649,MC006,box,706,3,MC006_add267,,267
,/locations/23649,MC006,box,720,3,MC006_add268,,268
,/locations/23649,MC006,box,721,3,MC006_add269,,269
,/locations/23649,MC006,box,734,3,MC006_add270,,270
,/locations/23649,MC006,box,735,3,MC006_add271,,271
,/locations/23649,MC006,box,739,3,MC006_add272,,272
,/locations/23649,MC006,box,740,3,MC006_add273,,273
,/locations/23649,MC047,box,8,3,MC047_add274,,274
,/locations/23649,MC047,box,9,3,MC047_add275,,275
,/locations/23649,MC047,box,10,3,MC047_add276,,276
,/locations/23649,MC047,box,15,3,MC047_add277,,277
,/locations/23649,MC047,box,16,3,MC047_add278,,278
,/locations/23649,MC047,box,38,3,MC047_add279,,279
,/locations/23649,MC047,box,39,3,MC047_add280,,280
,/locations/23649,MC047,box,40,3,MC047_add281,,281
,/locations/23649,MC047,box,41,3,MC047_add282,,282
,/locations/23649,MC047,box,42,3,MC047_add283,,283
,/locations/23649,MC047,box,43,3,MC047_add284,,284
,/locations/23649,MC104,box,2,3,MC104_add285,,285
,/locations/23649,MC104,box,3,3,MC104_add286,,286
,/locations/23649,MC104,box,5,3,MC104_add287,,287
,/locations/23649,MC104,box,1163,3,MC104_add288,,288
,/locations/23652,MC165,box,181,3,MC165_add289,,289
,/locations/23652,MC165,box,182,3,MC165_add290,,290
,/locations/23652,MC165,box,183,3,MC165_add291,,291
,/locations/23652,MC165,box,184,3,MC165_add292,,292
,/locations/23652,MC165,box,185,3,MC165_add293,,293
,/locations/23652,MC165,box,186,3,MC165_add294,,294
,/locations/23652,MC165,box,187,3,MC165_add295,,295
,/locations/23652,MC165,box,188,3,MC165_add296,,296
,/locations/23652,MC165,box,192,3,MC165_add297,,297
,/locations/23652,MC165,box,193,3,MC165_add298,,298
,/locations/23652,MC165,box,194,3,MC165_add299,,299
,/locations/23652,MC165,box,195,3,MC165_add300,,300
,/locations/23652,MC165,box,196,3,MC165_add301,,301
,/locations/23652,MC165,box,200,3,MC165_add302,,302
,/locations/23652,MC165,box,253,3,MC165_add303,,303
,/locations/23652,MC165,box,261,3,MC165_add304,,304
,/locations/23652,MC165,box,268,3,MC165_add305,,305
,/locations/23652,MC165,box,269,3,MC165_add306,,306
,/locations/23652,MC165,box,279,3,MC165_add307,,307
,/locations/23652,MC165,box,303,3,MC165_add308,,308
,/locations/23652,MC165,box,304,3,MC165_add309,,309
,/locations/23652,MC165,box,343,3,MC165_add310,,310
,/locations/23652,MC165,box,382,3,MC165_add311,,311
,/locations/23652,MC165,box,383,3,MC165_add312,,312
,/locations/23652,MC165,box,423,3,MC165_add313,,313
,/locations/23652,MC165,box,424,3,MC165_add314,,314
,/locations/23652,MC165,box,492,3,MC165_add315,,315
,/locations/23652,MC165,box,493,3,MC165_add316,,316
,/locations/23652,MC175,box,2,3,MC175_add317,,317
