blank,tc_type,tc_indicator,string,repo,barcode,ils_holding_id,location,profile,restriction
,box,117,AC047_box_117,4,32101106146119,AC047_i196,/locations/23649,/container_profiles/3,Open
,box,181,AC047_box_181,4,32101106146754,AC047_i64,/locations/23649,/container_profiles/3,Open
,box,185,AC047_box_185,4,32101106146796,AC047_i59,/locations/23649,/container_profiles/3,Restricted
,box,35,AC047_box_35,4,32101106145293,AC047_i138,/locations/23649,/container_profiles/3,Open
,box,37,AC047_box_37,4,32101106145319,AC047_i202,/locations/23649,/container_profiles/3,Open
,box,85,AC047_box_85,4,32101106145798,AC047_i69,/locations/23649,/container_profiles/3,Open
,box,104,AC105.03_box_104,4,AC105.03_n60,AC105.03_n60,/locations/23649,/container_profiles/3,Restricted
,box,105,AC105.03_box_105,4,AC105.03_n61,AC105.03_n61,/locations/23649,/container_profiles/3,Restricted
,box,106,AC105.03_box_106,4,AC105.03_n62,AC105.03_n62,/locations/23649,/container_profiles/3,Restricted
,box,107,AC105.03_box_107,4,AC105.03_n63,AC105.03_n63,/locations/23649,/container_profiles/3,Restricted
,box,108,AC105.03_box_108,4,AC105.03_n64,AC105.03_n64,/locations/23649,/container_profiles/3,Restricted
,box,109,AC105.03_box_109,4,AC105.03_n65,AC105.03_n65,/locations/23649,/container_profiles/3,Restricted
,box,110,AC105.03_box_110,4,AC105.03_n66,AC105.03_n66,/locations/23649,/container_profiles/3,Restricted
,box,111,AC105.03_box_111,4,AC105.03_n67,AC105.03_n67,/locations/23649,/container_profiles/3,Restricted
,box,112,AC105.03_box_112,4,AC105.03_n68,AC105.03_n68,/locations/23649,/container_profiles/3,Restricted
,box,119,AC105.03_box_119,4,AC105.03_n75,AC105.03_n75,/locations/23649,/container_profiles/3,Restricted
,box,49,AC105.03_box_49,4,AC105.03_n3,AC105.03_n3,/locations/23649,/container_profiles/3,Restricted
,box,50,AC105.03_box_50,4,AC105.03_n4,AC105.03_n4,/locations/23649,/container_profiles/3,Restricted
,box,51,AC105.03_box_51,4,AC105.03_n5,AC105.03_n5,/locations/23649,/container_profiles/3,Restricted
,box,52,AC105.03_box_52,4,AC105.03_n6,AC105.03_n6,/locations/23649,/container_profiles/3,Restricted
,box,53,AC105.03_box_53,4,AC105.03_n7,AC105.03_n7,/locations/23649,/container_profiles/3,Restricted
,box,54,AC105.03_box_54,4,AC105.03_n8,AC105.03_n8,/locations/23649,/container_profiles/3,Restricted
,box,55,AC105.03_box_55,4,AC105.03_n9,AC105.03_n9,/locations/23649,/container_profiles/3,Restricted
,box,56,AC105.03_box_56,4,AC105.03_n10,AC105.03_n10,/locations/23649,/container_profiles/3,Restricted
,box,782,AC105.03_box_782,4,AC105.03_add1,AC105.03_add1,/locations/23652,/container_profiles/3,Open
,box,783,AC105.03_box_783,4,AC105.03_add2,AC105.03_add2,/locations/23652,/container_profiles/3,Open
,box,784,AC105.03_box_784,4,AC105.03_add3,AC105.03_add3,/locations/23652,/container_profiles/3,Open
,box,542,AC105.05_box_542,4,AC105.05_n105,AC105.05_n105,/locations/23649,/container_profiles/3,Restricted
,box,543,AC105.05_box_543,4,AC105.05_n108,AC105.05_n108,/locations/23649,/container_profiles/3,Restricted
,box,544,AC105.05_box_544,4,AC105.05_n144,AC105.05_n144,/locations/23649,/container_profiles/3,Restricted
,box,545,AC105.05_box_545,4,AC105.05_n111,AC105.05_n111,/locations/23649,/container_profiles/3,Restricted
,box,546,AC105.05_box_546,4,AC105.05_n115,AC105.05_n115,/locations/23649,/container_profiles/3,Restricted
,box,547,AC105.05_box_547,4,AC105.05_n116,AC105.05_n116,/locations/23649,/container_profiles/3,Restricted
,box,548,AC105.05_box_548,4,AC105.05_n118,AC105.05_n118,/locations/23649,/container_profiles/3,Restricted
,box,634,AC105.05_box_634,4,AC105.05_n162,AC105.05_n162,/locations/23649,/container_profiles/3,Restricted
,box,785,AC105.05_box_785,4,AC105.05_n154,AC105.05_n154,/locations/23649,/container_profiles/3,Restricted
,box,786,AC105.05_box_786,4,AC105.05_add4,AC105.05_add4,/locations/23652,/container_profiles/3,Open
,box,null,AC105.05_box_null,4,AC105.05_n34,AC105.05_n34,/locations/23649,/container_profiles/3,Restricted
,box,FAC14,AC107_box_FAC14,4,AC107_n1,AC107_n1,/locations/23649,/container_profiles/3,Restricted
,box,FAC15,AC107_box_FAC15,4,AC107_add5,AC107_add5,/locations/23652,/container_profiles/3,Open
,box,166,AC283_box_166,4,32101113309163,AC283_i168,/locations/23649,/container_profiles/3,Restricted
,box,167,AC283_box_167,4,AC283_add6,AC283_add6,/locations/23652,/container_profiles/3,Open
,box,313,AC283_box_313,4,32101113310625,AC283_i315,/locations/23649,/container_profiles/3,Restricted
,box,314,AC283_box_314,4,AC283_add7,AC283_add7,/locations/23652,/container_profiles/3,Open
,box,1,C0171_box_1,5,C0171_n156,C0171_n156,/locations/23649,/container_profiles/3,Restricted
,box,105,C0171_box_105,5,C0171_n60,C0171_n60,/locations/23649,/container_profiles/3,Restricted
,box,106,C0171_box_106,5,C0171_add8,C0171_add8,/locations/23652,/container_profiles/3,Open
,box,107,C0171_box_107,5,C0171_add9,C0171_add9,/locations/23652,/container_profiles/3,Open
,box,109,C0171_box_109,5,C0171_n155,C0171_n155,/locations/23662,/container_profiles/3,Restricted
,box,110,C0171_box_110,5,C0171_add10,C0171_add10,/locations/23652,/container_profiles/3,Open
,box,111,C0171_box_111,5,C0171_add11,C0171_add11,/locations/23652,/container_profiles/3,Open
,box,2,C0171_box_2,5,C0171_add12,C0171_add12,/locations/23652,/container_profiles/3,Open
,box,3,C0171_box_3,5,C0171_add13,C0171_add13,/locations/23652,/container_profiles/3,Open
,box,7,C0171_box_7,5,C0171_n159,C0171_n159,/locations/23649,/container_profiles/3,Restricted
,box,8,C0171_box_8,5,C0171_n160,C0171_n160,/locations/23649,/container_profiles/3,Restricted
,box,90,C0171_box_90,5,C0171_n10,C0171_n10,/locations/23662,/container_profiles/3,Restricted
,box,91,C0171_box_91,5,C0171_add14,C0171_add14,/locations/23652,/container_profiles/3,Open
,box,92,C0171_box_92,5,C0171_add15,C0171_add15,/locations/23652,/container_profiles/3,Open
,box,35,C0812_box_35,5,C0812_n35,C0812_n35,/locations/23662,/container_profiles/3,Restricted
,box,36,C0812_box_36,5,C0812_add16,C0812_add16,/locations/23652,/container_profiles/3,Open
,box,37,C0812_box_37,5,C0812_add17,C0812_add17,/locations/23652,/container_profiles/3,Open
,box,43,C0918_box_43,5,C0918_n1,C0918_n1,/locations/23662,/container_profiles/3,Restricted
,box,44,C0918_box_44,5,C0918_add18,C0918_add18,/locations/23652,/container_profiles/3,Open
,box,45,C0918_box_45,5,C0918_add19,C0918_add19,/locations/23652,/container_profiles/3,Open
,box,1,C1623_box_1,5,C1623_n1,C1623_n1,/locations/23662,/container_profiles/3,Restricted
,box,2,C1623_box_2,5,C1623_n2,C1623_n2,/locations/23662,/container_profiles/3,Restricted
,box,10,LAE026_box_10,8,LAE026_add20,LAE026_add20,/locations/23652,/container_profiles/3,Open
,box,9,LAE026_box_9,8,LAE026_n2,LAE026_n2,/locations/23662,/container_profiles/3,Restricted
,box,424,MC006_box_424,3,MC006_n377,MC006_n377,/locations/23662,/container_profiles/3,Restricted
,box,425,MC006_box_425,3,MC006_add21,MC006_add21,/locations/23652,/container_profiles/3,Open
,box,426,MC006_box_426,3,MC006_add22,MC006_add22,/locations/23652,/container_profiles/3,Open
,box,430,MC006_box_430,3,MC006_n380,MC006_n380,/locations/23662,/container_profiles/3,Restricted
,box,431,MC006_box_431,3,MC006_add23,MC006_add23,/locations/23652,/container_profiles/3,Open
,box,447,MC006_box_447,3,MC006_n396,MC006_n396,/locations/23662,/container_profiles/3,Restricted
,box,448,MC006_box_448,3,MC006_add24,MC006_add24,/locations/23652,/container_profiles/3,Open
,box,533,MC006_box_533,3,MC006_n477,MC006_n477,/locations/23662,/container_profiles/3,Restricted
,box,534,MC006_box_534,3,MC006_add25,MC006_add25,/locations/23652,/container_profiles/3,Open
,box,537,MC006_box_537,3,MC006_n480,MC006_n480,/locations/23662,/container_profiles/3,Restricted
,box,538,MC006_box_538,3,MC006_add26,MC006_add26,/locations/23652,/container_profiles/3,Open
,box,693,MC006_box_693,3,MC006_n634,MC006_n634,/locations/23662,/container_profiles/3,Restricted
,box,694,MC006_box_694,3,MC006_add27,MC006_add27,/locations/23652,/container_profiles/3,Open
,box,695,MC006_box_695,3,MC006_add28,MC006_add28,/locations/23652,/container_profiles/3,Open
,box,698,MC006_box_698,3,MC006_n635,MC006_n635,/locations/23662,/container_profiles/3,Restricted
,box,699,MC006_box_699,3,MC006_add29,MC006_add29,/locations/23652,/container_profiles/3,Open
,box,700,MC006_box_700,3,MC006_add30,MC006_add30,/locations/23652,/container_profiles/3,Open
,box,701,MC006_box_701,3,MC006_n636,MC006_n636,/locations/23662,/container_profiles/3,Restricted
,box,702,MC006_box_702,3,MC006_add31,MC006_add31,/locations/23652,/container_profiles/3,Open
