blank,repo,tc_type,tc_indicator,location,profile,restriction,ils_holding_id,aos,string
,3,box,2,/locations/23652,/container_profiles/3,Open,MC165_add1,/repositories/3/archival_objects/358946,MC165_box_2
,3,box,3,/locations/23652,/container_profiles/3,Open,MC165_add2,/repositories/3/archival_objects/358946,MC165_box_3
,3,box,5,/locations/23652,/container_profiles/3,Open,MC165_add3,/repositories/3/archival_objects/358947,MC165_box_5
,3,box,6,/locations/23652,/container_profiles/3,Open,MC165_add4,/repositories/3/archival_objects/358947,MC165_box_6
,3,box,500,/locations/23652,/container_profiles/3,Open,MC165_add5,/repositories/3/archival_objects/358954,MC165_box_500
,3,box,501,/locations/23652,/container_profiles/3,Open,MC165_add6,/repositories/3/archival_objects/358954,MC165_box_501
,3,box,8,/locations/23652,/container_profiles/3,Open,MC165_add7,/repositories/3/archival_objects/358959,MC165_box_8
,3,box,91,/locations/23652,/container_profiles/3,Open,MC165_add8,/repositories/3/archival_objects/359040,MC165_box_91
,3,box,92,/locations/23652,/container_profiles/3,Open,MC165_add9,/repositories/3/archival_objects/359040,MC165_box_92
,3,box,98,/locations/23652,/container_profiles/3,Open,MC165_add10,/repositories/3/archival_objects/359045,MC165_box_98
,3,box,99,/locations/23652,/container_profiles/3,Open,MC165_add11,/repositories/3/archival_objects/359045,MC165_box_99
,3,box,179,/locations/23652,/container_profiles/3,Open,MC165_add12,/repositories/3/archival_objects/359124,MC165_box_179
,3,box,180,/locations/23652,/container_profiles/3,Open,MC165_add13,/repositories/3/archival_objects/359124,MC165_box_180
,3,box,190,/locations/23652,/container_profiles/3,Open,MC165_add14,/repositories/3/archival_objects/359125,MC165_box_190
,3,box,191,/locations/23652,/container_profiles/3,Open,MC165_add15,/repositories/3/archival_objects/359125,MC165_box_191
,3,box,198,/locations/23652,/container_profiles/3,Open,MC165_add16,/repositories/3/archival_objects/359126,MC165_box_198
,3,box,199,/locations/23652,/container_profiles/3,Open,MC165_add17,/repositories/3/archival_objects/359126,MC165_box_199
,3,box,204,/locations/23652,/container_profiles/3,Open,MC165_add18,/repositories/3/archival_objects/359129,MC165_box_204
,3,box,206,/locations/23652,/container_profiles/3,Open,MC165_add19,/repositories/3/archival_objects/359130,MC165_box_206
,3,box,210,/locations/23652,/container_profiles/3,Open,MC165_add20,/repositories/3/archival_objects/359133,MC165_box_210
,3,box,211,/locations/23652,/container_profiles/3,Open,MC165_add21,/repositories/3/archival_objects/359133,MC165_box_211
,3,box,215,/locations/23652,/container_profiles/3,Open,MC165_add22,/repositories/3/archival_objects/359137,MC165_box_215
,3,box,215A,/locations/23652,/container_profiles/3,Open,MC165_add23,/repositories/3/archival_objects/359137,MC165_box_215A
,3,box,251,/locations/23652,/container_profiles/3,Open,MC165_add24,/repositories/3/archival_objects/359149,MC165_box_251
,3,box,252,/locations/23652,/container_profiles/3,Open,MC165_add25,/repositories/3/archival_objects/359149,MC165_box_252
,3,box,256,/locations/23652,/container_profiles/3,Open,MC165_add26,/repositories/3/archival_objects/359150,MC165_box_256
,3,box,257,/locations/23652,/container_profiles/3,Open,MC165_add27,/repositories/3/archival_objects/359150,MC165_box_257
,3,box,259,/locations/23652,/container_profiles/3,Open,MC165_add28,/repositories/3/archival_objects/359151,MC165_box_259
,3,box,260,/locations/23652,/container_profiles/3,Open,MC165_add29,/repositories/3/archival_objects/359151,MC165_box_260
,3,box,264,/locations/23652,/container_profiles/3,Open,MC165_add30,/repositories/3/archival_objects/359153,MC165_box_264
