blank,aos,repo,eadid,tc_type,tc_indicator,,string,location,profile,restriction,helper,ils_holding_id
,/repositories/4/archival_objects/1379501,4,AC130,box,341,,AC130_box_341,/locations/23649,/container_profiles/3,Review,203,AC130_add203
,/repositories/4/archival_objects/1379800,4,AC130,box,348,,AC130_box_348,/locations/23649,/container_profiles/3,Review,204,AC130_add204
,/repositories/4/archival_objects/1379800,4,AC130,box,349,,AC130_box_349,/locations/23649,/container_profiles/3,Review,205,AC130_add205
,/repositories/4/archival_objects/1379800,4,AC130,box,350,,AC130_box_350,/locations/23649,/container_profiles/3,Review,206,AC130_add206
,/repositories/4/archival_objects/1379800,4,AC130,box,351,,AC130_box_351,/locations/23649,/container_profiles/3,Review,207,AC130_add207
,/repositories/4/archival_objects/1379800,4,AC130,box,352,,AC130_box_352,/locations/23649,/container_profiles/3,Review,208,AC130_add208
,/repositories/4/archival_objects/1379824,4,AC130,box,356,,AC130_box_356,/locations/23649,/container_profiles/3,Review,209,AC130_add209
,/repositories/4/archival_objects/1379845,4,AC130,box,361,,AC130_box_361,/locations/23649,/container_profiles/3,Review,210,AC130_add210
,/repositories/4/archival_objects/1379845,4,AC130,box,362,,AC130_box_362,/locations/23649,/container_profiles/3,Review,211,AC130_add211
,/repositories/4/archival_objects/1379845,4,AC130,box,363,,AC130_box_363,/locations/23649,/container_profiles/3,Review,212,AC130_add212
,/repositories/4/archival_objects/1379845,4,AC130,box,364,,AC130_box_364,/locations/23649,/container_profiles/3,Review,213,AC130_add213
,/repositories/4/archival_objects/1379845,4,AC130,box,365,,AC130_box_365,/locations/23649,/container_profiles/3,Review,214,AC130_add214
,/repositories/4/archival_objects/1379861,4,AC130,box,369,,AC130_box_369,/locations/23649,/container_profiles/3,Review,215,AC130_add215
,/repositories/4/archival_objects/1379861,4,AC130,box,370,,AC130_box_370,/locations/23649,/container_profiles/3,Review,216,AC130_add216
,/repositories/4/archival_objects/1380017,4,AC130,box,379,,AC130_box_379,/locations/23649,/container_profiles/3,Review,217,AC130_add217
,/repositories/4/archival_objects/1378905,4,AC130,box,391,,AC130_box_391,/locations/23649,/container_profiles/3,Review,218,AC130_add218
,/repositories/4/archival_objects/1379989,4,AC130,box,470,,AC130_box_470,/locations/23649,/container_profiles/3,Review,219,AC130_add219
,/repositories/4/archival_objects/1379989,4,AC130,box,471,,AC130_box_471,/locations/23649,/container_profiles/3,Review,220,AC130_add220
,/repositories/4/archival_objects/1379362,4,AC130,box,495,,AC130_box_495,/locations/23649,/container_profiles/3,Review,221,AC130_add221
,/repositories/4/archival_objects/1379362,4,AC130,box,496,,AC130_box_496,/locations/23649,/container_profiles/3,Review,222,AC130_add222
,/repositories/5/archival_objects/1077842,5,C0171,box,108,,C0171_box_108,/locations/23662,/container_profiles/3,Restricted,223,C0171_add223
,/repositories/5/archival_objects/1077952,5,C0171,box,4,,C0171_box_4,/locations/23662,/container_profiles/3,Restricted,224,C0171_add224
