uri,cid,unittitle,unitdate,containers
/repositories/4/archival_objects/1442604,AC187_c00003,1972-1987,1972-1987,box 1 folder 1 
/repositories/4/archival_objects/1442605,AC187_c00004,Continuing Education and VERB (Victor Electrowriter Remote Blackboard) Programs,1967-1972,box 1 folder 2 
/repositories/4/archival_objects/1442606,AC187_c00006,General,1972-1987,box 1 folder 3 
/repositories/4/archival_objects/1442607,AC187_c00007,A-Z (by Department),1972-1987,box 1 folder 4 
/repositories/4/archival_objects/1442608,AC187_c00008,Anthropology,1975-1986,box 1 folder 5 
/repositories/4/archival_objects/1442609,AC187_c00009,Art and Archaeology,1973-1985,box 1 folder 6 
/repositories/4/archival_objects/1442610,AC187_c00010,Astrophysical Sciences,1973-1984,box 1 folder 7 
/repositories/4/archival_objects/1442611,AC187_c00011,Biochemical Sciences,1972-1986,box 1 folder 8-9 
/repositories/4/archival_objects/1444516,AC187_c00013,1973-1979,1973-1979,box 1 folder 10 
/repositories/4/archival_objects/1444517,AC187_c00014,1982-1986,1982-1986,box 2 folder 1 
/repositories/4/archival_objects/1442613,AC187_c00015,Chemical Engineering,1973-1986,box 2 folder 2 
/repositories/4/archival_objects/1442614,AC187_c00016,Chemistry,1973-1987,box 2 folder 3-4 
/repositories/4/archival_objects/1442615,AC187_c00017,Classics,1974-1986,box 2 folder 5-6 
/repositories/4/archival_objects/1442616,AC187_c00018,Comparative Literature,1974-1986,box 2 folder 7 
/repositories/4/archival_objects/1442617,AC187_c00019,East Asian Studies,1972-1987,box 2 folder 8-9 
/repositories/4/archival_objects/1442618,AC187_c00020,Economics,1973-1987,box 2 folder 10 
/repositories/4/archival_objects/1444518,AC187_c00022,Civil and Geological,1973-1986,box 2 folder 11 
/repositories/4/archival_objects/1444519,AC187_c00023,Computer Science,1985-1987,box 2 folder 12 
/repositories/4/archival_objects/1444520,AC187_c00024,Electrical,1972-1987,box 3 folder 1-2 
/repositories/4/archival_objects/1444521,AC187_c00025,Mechanical and Aerospace,1973-1985,box 3 folder 3-4 
/repositories/4/archival_objects/1442620,AC187_c00026,English,1973-1987,box 3 folder 5-7 
/repositories/4/archival_objects/1442621,AC187_c00027,Geological and Geophysical Sciences,1975-1987,box 3 folder 8 
/repositories/4/archival_objects/1442622,AC187_c00028,Germanic Languages and Literatures,1972-1984,box 3 folder 9 
/repositories/4/archival_objects/1442623,AC187_c00029,History,1972-1986,box 3 folder 10-11 
/repositories/4/archival_objects/1442624,AC187_c00030,Mathematics,1972-1984,box 3 folder 12 
/repositories/4/archival_objects/1442625,AC187_c00031,Molecular Biology,1986,box 3 folder 13 
