,uri,,ref_id,,title,,first_date,,container,
<record><uri>,/repositories/3/archival_objects/342164,</uri><cid>,MC147_c00003,</cid><unittitle>,Annual Meetings,</unittitle><unitdate>,1925-1936,</unitdate><container>,box 1 folder 1-32 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342165,</uri><cid>,MC147_c00004,</cid><unittitle>,Annual Meetings,</unittitle><unitdate>,1959-1968,</unitdate><container>,box 2 folder 1-10 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342166,</uri><cid>,MC147_c00005,</cid><unittitle>,Annual Meetings,</unittitle><unitdate>,1969-1989,</unitdate><container>,box 3 folder 1-20 ,</container></record>
<record><uri>,/repositories/3/archival_objects/342167,</uri><cid>,MC147_c00006,</cid><unittitle>,Annual Meetings,</unittitle><unitdate>,1990-1993,</unitdate><container>,box 4 folder 1-4 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453355,</uri><cid>,MC147_c07283-24964,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1924,</unitdate><container>,box 4 folder 5 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453356,</uri><cid>,MC147_c08756-50887,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1925,</unitdate><container>,box 4 folder 6 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453357,</uri><cid>,MC147_c15016-75590,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1926,</unitdate><container>,box 4 folder 7 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453358,</uri><cid>,MC147_c08917-64143,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1927,</unitdate><container>,box 4 folder 8 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453359,</uri><cid>,MC147_c07146-15316,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1928,</unitdate><container>,box 4 folder 9 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453360,</uri><cid>,MC147_c17765-85492,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1929,</unitdate><container>,box 4 folder 10 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453361,</uri><cid>,MC147_c23424-00748,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1930,</unitdate><container>,box 4 folder 11 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453362,</uri><cid>,MC147_c02350-92333,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1931,</unitdate><container>,box 4 folder 12 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453363,</uri><cid>,MC147_c10152-36195,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1932,</unitdate><container>,box 4 folder 13 ,</container></record>
<record><uri>,/repositories/3/archival_objects/1453364,</uri><cid>,MC147_c37344-75847,</cid><unittitle>,Board Meetings,</unittitle><unitdate>,1933,</unitdate><container>,box 4 folder 14 ,</container></record>
